Colina;18468
Mirante do Paranapanema;18259
Paraibuna;18222
Itirapina;18157
Cesário Lange;18148
Conchas;17896
Jacupiranga;17866
Elias Fausto;17772
Cafelândia;17767
Itaberá;17556
Bady Bassitt;17502
Severínia;17496
Itariri;17436
Potirendaba;17361
Charqueada;17190
Macatuba;17163
Guapiara;17157
Buritama;17144
Salesópolis;17139
Pindorama;17049
Pedregulho;16744
Rosana;16643
Tabatinga;16496
Ribeirão Branco;16444
Ipuã;16409
Altinópolis;16184
Borborema;16046
Fartura;16036
São Lourenço da Serra;15825
Panorama;15777
Tupi Paulista;15495
Eldorado;15494
Santa Adélia;15480
São Simão;15322
Itajobi;15262
Pinhalzinho;15207
Auriflama;15189
Itaporanga;15149
Tarumã;15000
Ipaussu;14971
Luís Antônio;14947
Holambra;14930
Boa Esperança do Sul;14923
Santa Branca;14788
Patrocínio Paulista;14670
Serra Azul;14662
Flórida Paulista;14640
Pacaembu;14197
Quatá;14109
Maracaí;14002
Itapuí;13992
Taguaí;13859
Urupês;13809
Piquete;13657
Avanhandava;13649
Piratininga;13636
Morungaba;13622
Queluz;13420
Valentim Gentil;13326
Palmares Paulista;13275
Joanópolis;13220
Ribeirão Bonito;13219
Presidente Bernardes;13106
Tapiratiba;12960
Palestina;12957
Mineiros do Tietê;12908
Sete Barras;12832
Cananéia;12540
Riolândia;12518
Duartina;12445
Chavantes;12418
Tabapuã;12407
Ibirá;12393
Bocaina;12329
Cardoso;12326
São Sebastião da Grama;12182
Guaiçara;12168
Lavínia;11980
Sales Oliveira;11890
Bofete;11730
Iacanga;11710
Nhandeara;11478
Pirangi;11417
Getulina;11409
Pedro de Toledo;11331
Estiva Gerbi;11304
Guaraci;11188
Nova Europa;11186
Ilha Comprida;11166
Bernardino de Campos;11148
Divinolândia;11146
Areiópolis;11129
Parapuã;10964
Bananal;10945
São Bento do Sapucaí;10878
General Salgado;10869
Vera Cruz;10843
Rincão;10799
Roseira;10712
São Luiz do Paraitinga;10687
Cajobi;10542
Vargem;10537
Ouroeste;10361
Sarapuí;10285
Uchoa;10110
Torrinha;10010
Rinópolis;9981
Porangaba;9925
Dumont;9868
Manduri;9846
Nova Campina;9755
Ariranha;9668
Reginópolis;9621
Igaratá;9534
Herculândia;9526
Euclides da Cunha Paulista;9371
Terra Roxa;9370
Salto Grande;9331
Palmeira d'Oeste;9283
Iaras;9240
Cedral;9237
Urânia;9114
Rafard;9076
Bálsamo;9068
Paulo de Faria;8945
Neves Paulista;8930
Dobrada;8929
São José da Bela Vista;8928
Dourado;8873
Santa Lúcia;8817
Vista Alegre do Alto;8810
Pereiras;8668
Cristais Paulista;8631
Clementina;8617
Ouro Verde;8562
Arealva;8560
Santo Antônio do Aracanguá;8420
Estrela d'Oeste;8419
Guaraçaí;8323
Irapuru;8294
Saltinho;8286
Icém;8243
Águas da Prata;8180
Iepê;8159
Macaubal;8120
Monte Alegre do Sul;8038
Bilac;8034
Irapuã;7993
Lindóia;7980
Itobi;7841
Tapiraí;7807
Catiguá;7804
Ibirarema;7753
Sud Mennucci;7718
Ribeirão Grande;7673
São Pedro do Turvo;7666
Barra do Turvo;7659
Guatapará;7656
Restinga;7593
Ipeúna;7546
Tarabai;7468
Nuporanga;7432
Barbosa;7402
Paulicéia;7366
Cosmorama;7307
Lavrinhas;7260
Jaci;7067
Orindiúva;7066
Nova Aliança;6973
Jaborandi;6929
Santo Antônio da Alegria;6929
Tuiuti;6894
Santo Antônio do Pinhal;6811
Anhembi;6724
Guarantã;6664
Natividade da Serra;6661
Quintana;6638
Jambeiro;6602
Gália;6548
Oriente;6515
Itirapuã;6499
Paraíso;6454
Pardinho;6435
Arandu;6357
Sales;6331
Iacri;6321
Ubarana;6309
Silveiras;6302
Taiaçu;6295
Taciba;6285
Colômbia;6210
Santa Maria da Serra;6173
Echaporã;6102
Pedra Bela;6093
Águas de Santa Bárbara;6075
Poloni;6059
Coroados;6058
Alambari;6025
Campina do Monte Alegre;6024
Santa Albertina;6008
Piacatu;5980
Américo de Campos;5969
Santo Antônio do Jardim;5954
Caiuá;5874
Marabá Paulista;5853
Taquarivaí;5852
Novais;5830
Três Fronteiras;5807
Luiziânia;5790
Fernando Prestes;5783
Guaimbê;5765
Balbinos;5735
Barra do Chapéu;5724
Braúna;5686
Aramina;5620
Santa Ernestina;5599
Sabino;5590
Taiúva;5566
Riversul;5524
Mendonça;5490
Avaí;5403
Ipiguá;5392
Salmourão;5300
Guzolândia;5267
Pratânia;5261
Planalto;5237
Álvaro de Carvalho;5227
Canitar;5216
Nipoã;5213
Canas;5138
Analândia;4995
Campos Novos Paulista;4965
Itapura;4906
Lagoinha;4896
Indiana;4885
Mirassolândia;4871
Narandiba;4857
Espírito Santo do Turvo;4829
Boracéia;4823
Glicério;4815
Gastão Vidigal;4808
Gavião Peixoto;4789
Ubirajara;4780
Santópolis do Aguapeí;4777
Júlio Mesquita;4776
Motuca;4758
Ribeirão Corrente;4718
Coronel Macedo;4681
Monteiro Lobato;4653
Pontalinda;4628
Lupércio;4584
Ribeirão do Sul;4541
Tejupá;4532
